brand,number,title
Lego,5933,Airport Building Set
Lego,6053,My First LEGO Town
Lego,6117,Doors and Windows
Lego,6118,Wheels and Tyres
Lego,6119,Roof Tiles
Lego,6131,LEGO Build and Play
Lego,6177,Basic Bricks Deluxe
Lego,6186,Build Your Own Harbor
Lego,6187,Road Construction Set
Lego,6191,Fire Fighter Building Set
Lego,6192,Pirate Building Set
Lego,6193,Castle Building Set
Lego,6194,My LEGO Town
Lego,7615,Basic Blue Bucket
Lego,7616,Basic Red Bucket
Lego,10655,LEGO Monster Trucks
Lego,10656,My First LEGO Princess
Lego,1030,Technic I Simple Machines Set
Lego,1031,Building Cards - 1030
Lego,1032,Technic II Powered Machines Set
Lego,1033,Building Cards - 1032
Lego,1034,Teachers Resource Set
Lego,1038,Universal Buggy
Lego,1039,Manual Control Set 1
Lego,1040,Farm
Lego,1040,Farm Set
Lego,1041,Harbour
Lego,1041,Educational Duplo Building Set
Lego,1042,Community People
Lego,1043,Farm Animals Set
Lego,1044,Community Vehicles
Lego,1045,Industrial Elements
Lego,1045,Educational LEGO Building Set
Lego,1046,Train Set
Lego,1047,Extra Track
Lego,1048,Bridge and Crossing Tracks
Lego,1049,Ships
Lego,1050,Basic Pack
Lego,1050,Universal set for boys and girls
Lego,1051,Basic Pack
Lego,1052,{Spare Elements}
Lego,1053,Community Buildings
Lego,7541,Friendship Frames & Notes
Lego,7542,Flashin' Fashion Frame
Lego,7545,Pink & Pearls Jewels 'n' More
Lego,7546,Tropical Breeze Jewels 'n' More
Lego,7548,Fun Flamingo Frames 'n' More
Lego,7549,Totally Tropical Décor Set
Lego,7554,Pearly Pink Bracelet & Bands
Lego,7555,Glitter & Sparkle Beauty Set
Lego,7557,Blooms and Butterflies
Lego,7558,Shells and Starfish
Lego,7559,Sports and Stars
Lego,7574,Holiday Gift Calendar
Lego,7575,Clikits Advent Calendar
Lego,7925,Clickits Fashion Design Kit A
Lego,7926,Clickits Fashion Design Kit C
Lego,7927,Clickits Fashion Design Kit B
Lego,7928,Clickits Fashion Design Kit D
Lego,7929,Promotional Set
Lego,7930,Promotional Set
Lego,7931,Promotional Set
Lego,10081,Heart Birthday Pack
Lego,10082,Daisy Birthday Pack
Lego,10083,Star Birthday Pack
Lego,10116,Heart Accessories
Lego,10117,Daisy Accessories
Lego,30409,{?}
Lego,40080,Friends Pencil Holder
Lego,40112,Catwalk phone stand
Lego,40114,Buildable Jewellery Box
Lego,40156,Organiser
Lego,40171,Hedgehog Storage
Lego,40264,Build My Heartlake City Accessory Set
Lego,40265,Tic-Tac-Toe
Lego,40266,Mini Keepsake Box
Lego,41000,Water Scooter Fun
Lego,41001,Mia's Magic Tricks
Lego,41002,Emma's Karate Class
Lego,41003,Olivia's Newborn Foal
Lego,41004,Rehearsal Stage
Lego,41005,Heartlake High
Lego,41006,Downtown Bakery
Lego,41007,Heartlake Pet Salon
Lego,41008,Heartlake City Pool
Lego,41009,Andrea's Bedroom
Lego,41010,Olivia's Beach Buggy
Lego,41011,Stephanie's Soccer Practice
Lego,41013,Emma's Sports Car
Lego,41015,Dolphin Cruiser
Lego,41016,Friends Advent Calendar
Lego,41017,Squirrel's Tree House
Lego,041,Pre-School Beginners Set
Lego,042,Jumbo Brick Pull Toy
Lego,044,Jumbo Bricks
Lego,045,Assorted Clear Bricks & Plates
Lego,046,Assorted White Bricks & Plates
Lego,047,Gates and Fences
Lego,048,Assorted Blue / Yellow Bricks Pack
Lego,049,Windows / Doors & Trees / Bushes
Lego,050,Lighting Device Pack
Lego,051,Assorted basic bricks - Red
Lego,052,Assorted basic bricks - White
Lego,053,Assorted basic bricks - Blue
Lego,054,Assorted basic bricks - Yellow
Lego,055,Trees & Bushes
Lego,55,Basic Set
Lego,056,Windows & Doors
Lego,057,Large Wheels
Lego,058,Small wheels
Lego,059,Red Roof Bricks Pack
Lego,060,Assorted White Plates Pack
Lego,060,Jumbo Brick School Set
Lego,061,5 - 10X20 base plates - Green
Lego,062,5 - 10X20 base plates - White
Lego,063,5 - 10X20 base plates - Blue
Lego,064,5 - 10X20 base plates - White / Blue
Lego,310,Tugboat
Lego,311,Ferry
Lego,312,Cargo Ship
Lego,314,Police Launch
Lego,315,Container Ship
Lego,316,Fire Fighting Launch
Lego,338,Ambulance
Lego,344,Bungalow
Lego,345,House with Mini Wheel Car
Lego,346,House with Car
Lego,347,Fire Station
Lego,348,Garage with Automatic Doors
Lego,349,Swiss Chalet
Lego,350,Spanish Villa
Lego,351,Gravel Depot
Lego,352,Windmill and Lorry
Lego,353,Terrace House with Car and Garage
Lego,354,Police Heliport
Lego,355,Town Center Set with Roadways
Lego,356,Italian Villa
Lego,357,Legoland Fire House
Lego,358,Rocket Base
Lego,360,Gravel Works
Lego,361,Tea Garden Cafe
Lego,362,Windmill
Lego,9247,Community Workers
Lego,9247,Community Workers
Lego,9274,Doors and Windows
Lego,9301,Traffic Signs
Lego,9302,Community Builders Set
Lego,9303,Airport Set
Lego,9306,Bulk Set with Special Bricks
Lego,9310,Dinosaurs Set
Lego,9311,City Buildings Set
Lego,9314,Rescue Services Set
Lego,9320,Journey into Space
Lego,9321,World Transport Services Set
Lego,9322,Town Developers Set
Lego,9324,Micro Building Set
Lego,9333,Vehicles Set
Lego,9334,Animals Set
Lego,9335,Space & Airport Set
Lego,9337,Harbour Set
Lego,9348,Community Minifigure Set
Lego,9349,Fairytale and Historic Minifigure Set
Lego,9384,Bricks Set
Lego,9385,Sceneries Set
